id,created_at,author,likes,followers_count,place,search_term,text
1225920819680944129,2020-02-07 23:14:34,1192189946397892613,5,26,,Impeached,"@RawStory Little did the Vindmans know that the same tyranny their father sought to flee is now being replicated in the US. November is coming. We’ll send Trump* back to his University. 

Donald John Trump* was impeached on December 18, 2019 for the #AbuseOfPower and #ObstructionOfCongress"
1225920712579440641,2020-02-07 23:14:09,891146399152185344,5,3473,,Impeached,"Impeached President Petty at it again. 

Will no one stand up for the Republic?

Where are the #2A types who've always maintained one reason they needed their guns to protect us from a dictator taking over? YOU HAD ONE JOB!"
1225920622347288577,2020-02-07 23:13:47,39490436,12,12243,,Impeached,"@r2no2 @SueG907 @_ReaalAmerican_ @NatashaBertrand Well, the total vote took HILARY in, not trump, the FOREVER IMPEACHED...
He remains the electoral choice, NOT the popular choice."
1225920279647383553,2020-02-07 23:12:25,1279358083,281,6545,,Impeached,#IMPOTUS keeps having flashbacks of Nancy Pelosi ripping his “speech”. It’ll live in his head forever along with being impeached! #FlashbackFriday https://t.co/Up1TNJwgaX
1225920149204750336,2020-02-07 23:11:54,334088526,6,2119,,Impeached,"@2019Impeached @RickAutoMax @Lexielhasaapso @NoWay7790 @realDonaldTrump Trump is going to make history again...  He'll be the first president to be impeached and re-elected all in the same year.  Thanks, Democrats."
1225920103251877889,2020-02-07 23:11:43,3304720226,5,189,,Impeached,"@noplaceforsheep To build a case to unseat many of the incumbent GOP senators in November and gain control of the Senate.

Trump may or may not win, but Dem control on the House and Senate is the aim of the game, I reckon.

Enough flipped seats and Trump gets impeached next year"
1225919945013370880,2020-02-07 23:11:06,39490436,5,12243,,Impeached,"@_ReaalAmerican_ @NatashaBertrand Trump, the IMPEACHED, is their leader."
1225919923047862272,2020-02-07 23:11:00,1194152189142417408,8,3712,"Sandy Springs, GA",Impeached,"@marcorubio #MediaWordOfDay
Principled: integrity and honesty, strong sense of fairness, justice and respect for dignity of individuals, groups and communities. Take responsibility for own actions and consequences.

Ex. If GOP were principled they would have impeached and removed tRUMP."
1225919917557501952,2020-02-07 23:10:59,61815331,5,12926,,Impeached,"@PatrickMcHenry @RepMarkWalker @realDonaldTrump We don’t like fraudulent criminals here in NC. We don’t approve of this impeached #FakePresident and the damage he’s doing to our rule of law, our military, and our national security. We don’t approve of trump using the office of the president to enrich himself."
1225919861307559936,2020-02-07 23:10:46,51785311,7,20749,,Impeached,Perhaps @realDonaldTrump  wants to be impeached again so he can continue playing the victim. https://t.co/T6iF7TUzu2
1225919846640058368,2020-02-07 23:10:42,2928071970,7,991,"Brunswick, Melbourne",Impeached,"@catmartini53 @RepAdamSchiff Support from down under ... we are all affected by what Fat Corrupt Crooked *Impeached Donnie does, says...."
1225919835386908672,2020-02-07 23:10:39,144564702,7,1986,,Impeached,Don’t understand why @MSNBC is leading w/DEM candidates while the WH is exacting revenge on gov’t employees?! You know how he was impeached over Ukraine and removing Yovanovitch? Now he’s removed Vindman AND his brother. Seems DEMs have more to worry about than policy debates.
1225919756768698368,2020-02-07 23:10:21,848950109211512832,16,6464,,Impeached,"I want to come to America on Election Day to marvel in your upcoming FREEDOM from the oppressive, totalitarian, dictator, pathetic, traitorous, impeached, cowardly terrorist donald j trump.

Any good places to stay in Washington?"
1225919509397200896,2020-02-07 23:09:22,724037074110783492,105,50099,,Impeached,"Since Trump fired Alexander Vindman's brother just because he was his brother, can we assume that Melania, Donald Jr., Eric and Ivanka were impeached too?"
1225919440442793984,2020-02-07 23:09:05,866080981178093568,8,138,"Framingham, MA",Impeached,@kenolin1 @SenTedCruz shame on you!  If you knew there was a quid pro quo then @realdonaldjtrump should have been impeached!
1225919344602943489,2020-02-07 23:08:42,888721666569904129,10,514,,Impeached,@StubbornBreed @Zucca_7 @Comey NOT IMPEACHED !!🤣🤣KAG 2020!
1225918805550882816,2020-02-07 23:06:34,1068706486774194176,5,2098,,Impeached,"Democrats crow that Trump has been “impeached forever,” meaning that the stain their smears have left on him can never be removed. This confirms that the impeachment spectacle owed more to malice than to any legitimate concern about his conduct."
1225918677872250880,2020-02-07 23:06:03,1322574662,5,959,"Milton, Ontario",Impeached,@Hbobrow1Hbobrow @Gypsy_Soul_93 FOREVER IMPEACHED
1225918659182419968,2020-02-07 23:05:59,1325349458,13,3637,"San Antonio, TX",Impeached,"What REVENGE will Impeached one exact against a ""Never Trumper"" vote this Nov?

His greivance / revenge knows no bounds.

Apparently,  NPR reports Lt.Col. Vindman's twin brother- also a decorayed WAR Hero..
Was ALSO"" escorted 
OFF WH property- without any detail!
Impeachment Two?"
1225918481201188864,2020-02-07 23:05:17,564180321,6,820,,Impeached,"Dear American Military,

@realDonaldTrump is sending you a clear message, get court martialed, for committing 2nd degree murder &amp; war crimes, you will be pardoned. 

Be a patriot &amp; testify about treasonous criminal acts, you will be summarily dismissed. 

Do you care?
#impeached https://t.co/W9qG8bKoWH"
1225918408694345731,2020-02-07 23:04:59,1048629891531505665,10,1006,,Impeached,@PaulaReidCBS @CBSNews Impeached man walkin . . .
1225918366315139072,2020-02-07 23:04:49,501240098,5,1910,,Impeached,"@BetteMidler Careful Betty, your substance abuse is showing!! Impeached by the Pelosi Clown Car will be a running JOKE for all of history!! Loser."
1225918147934318592,2020-02-07 23:03:57,1279522164,5,4776,,Impeached,@ericinca Respectfully disagree. Under your logic nearly every president could have and should have been impeached. Please read Turley’s paper on it.
1225917995656130561,2020-02-07 23:03:21,716750760734822400,565,18340,,Impeached,"@DonaldJTrumpJr On the bright side, your none-too-bright father can be Impeached again for deliberate witness retaliation, which is also a Federal offense."
1225917896100065280,2020-02-07 23:02:57,21431729,48,5358,,Impeached,It looks like trump shouldn't have gone through the trouble of trying to damage Biden and be impeached for it. The MSM is doing it for him.
1225917466934530051,2020-02-07 23:01:15,303344103,20,335,,Impeached,@JesseKellyDC trump was impeached and that is forever. He is a criminal. Period.
1225917430708326400,2020-02-07 23:01:06,47264528,6,20,,Impeached,@dbongino @realDonaldTrump They accomplished IMPEACHMENT! Forever impeached! Thankfully it will be in future history books... when we scoff at the current state of America... that half of Americans didn't support this president or believe his lies. #IMpotus #MakeAmericaHonestAgain
1225917339755065345,2020-02-07 23:00:44,958837405368373248,12,12566,,Impeached,"At least he's being honest, albeit he's still a POS.
Jones admits Democrats wanted Trump ‘impeached from the time he took his hand off the Bible’ https://t.co/IcZWikj4rG"
1225917246142283778,2020-02-07 23:00:22,1205314256117338113,6,95,,Impeached,"@PaulaReidCBS @CBSNews Why don’t we start ignoring the criminal impeached President, what’s the reason for covering his news screams in front of a helicopter, when all he does is scream lies"
